id,name,states,levels,company,date_published,time_published
11414403,Member Specialist PT,['NM'],mid,Walmart,2023-05-22,23:41:54
11380066,PwC Private - Japanese Business Network - Audit Senior Associate,['Remote'],senior,PwC,2023-05-16,11:25:21
11375065,"Calhoun, GA Delivery Driver",['GA'],mid,US Foods,2023-05-17,14:55:46
11291995,Senior Data Management Analyst,['NC'],senior,Wells Fargo,2023-05-26,23:46:34
11409323,"Data Engineer, Product Analytics - Monetization",['WA'],mid,Meta,2023-05-27,23:23:11
9040728,Freight Crew Lead,['NM'],mid,Kroger,2022-10-17,23:35:59
11418135,Master Scheduler,['TX'],senior,Enovis,2023-05-25,18:53:44
10917102,Senior Risk Analytics Consultant - Unsecured Lending Risk,['TX'],senior,Wells Fargo,2023-05-27,11:34:10
11214288,PM V - Clinical Operations Analyst,['MA'],mid,The Commonwealth of Massachusetts,2023-04-19,10:06:07
11176518,"Director, Machine Learning, New Initiatives",['Remote'],senior,Dropbox,2023-04-13,10:59:52
11381468,"Software Engineer, Machine Learning",['Remote'],senior,Meta,2023-05-27,23:23:11
11412291,"Data Scientist, Product Analytics - App Foundation",['Remote'],senior,Meta,2023-05-27,23:23:10
11417367,"Product Manager, Data Movement & Storage, RaDS IT",['MA'],senior,Merck,2023-05-24,10:49:19
11298074,Product Strategy Lead-Connected Insights,['Remote'],senior,Mars Inc.,2023-05-04,23:33:40
11317982,Senior Risk and Governance Data Analyst,['Remote'],senior,Cash App,2023-05-09,23:10:51
10893889,"(USA) Operations Manager, Environmental, Health, and Safety - DC/FC",['ME'],senior,Walmart,2023-04-27,00:01:10
11165388,"Associate Director, Merchandising Systems & Services","['WA', 'MA', 'MN', 'FL']",senior,Chewy,2023-05-16,23:09:24
11282034,Liquidity Risk Senior Analyst,['NC'],senior,Wells Fargo,2023-05-26,23:46:06
11422185,Data Governance Manager,['MA'],senior,The Commonwealth of Massachusetts,2023-05-24,10:12:07
11233812,Operations Finance Manager - Pharmacy,['KY'],senior,Chewy,2023-04-21,23:08:52
11371281,"DoD SkillBridge Internship - Technician/Specialist - Salt Lake City, UT",['MI'],internship,Siemens,2023-05-13,23:33:38
11375515,"Senior Data Engineer, Finance",['Remote'],senior,Ava Labs,2023-05-15,23:05:11
11371296,"DoD SkillBridge Internship - Technician/Specialist - Salt Lake City, UT",['WY'],internship,Siemens,2023-05-13,23:33:38
11066239,"Biomedical Equipment Technician 3 (Albuquerque, NM)",['NM'],senior,Philips,2023-03-22,11:52:16
11224640,"Manager, Data Engineering",['Remote'],senior,Circle,2023-05-23,23:02:27
11371310,"DoD SkillBridge Internship - Technician/Specialist - Salt Lake City, UT",['GA'],internship,Siemens,2023-05-13,23:33:38
11069561,Energy Analyst III - Natural Gas - Smart Buildings - Remote,['SC'],mid,Siemens,2023-05-12,23:42:51
11139806,"DoD SkillBridge Internship - Technician/Specialist - Austin, TX",['TX'],internship,Siemens,2023-04-05,23:47:24
11171138,Senior Data Engineer,['Remote'],senior,Circle,2023-05-23,23:02:27
11186342,Clinical Data Modeler,['Remote'],mid,Philips,2023-05-12,11:22:36
11333308,Supply Chain Technology Leader,['Remote'],senior,Philips,2023-05-11,11:25:12
10940037,Network Infrastructure Technician,['TX'],mid,SpaceX,2023-05-23,23:07:09
11397144,(Junior) Business Analyst (f/m/d),['Remote'],mid,Siemens,2023-05-18,23:39:44
11382058,Lead Data Science Engineer - Remote US,['Remote'],senior,Siemens,2023-05-16,23:40:21
11171088,Senior Data Engineer,['Remote'],senior,Circle,2023-05-23,23:02:27
11186194,Ultrasound Service Reliability and Quality Manager,"['India', 'WA', 'MA', 'Netherlands']",senior,Philips,2023-05-24,10:54:50
11224598,"Manager, Data Engineering",['Remote'],senior,Circle,2023-05-23,23:02:27
11336696,Solution Architect (XHQ),['Remote'],senior,Siemens,2023-05-12,23:42:51
11042245,Sr. Supply Chain Planner (Starship Launch),['TX'],senior,SpaceX,2023-05-23,23:07:10
11171136,Senior Data Engineer,['Remote'],senior,Circle,2023-05-23,23:02:27
11400222,Senior Data Scientist - Procurement,['IN'],senior,Cummins,2023-05-27,10:23:50
11228047,"Associate Director, Demand Planning","['WA', 'MA', 'MN', 'FL']",senior,Chewy,2023-04-21,10:07:06
10944916,Senior Data Engineer,['Remote'],senior,Zendesk,2023-05-23,23:08:15
11042537,"PA-C, Physician Assistant or APRN, Advanced Practice Nurse, Dermatology, Chicago Suburbs - Full Time",['IL'],mid,Advocate Aurora Health,2023-03-17,10:15:54
11325731,2024 Corporate Risk Summer Intern Program (Master's),['NC'],internship,Wells Fargo,2023-05-25,11:28:21
11273348,Senior Director - Databricks Offering Lead (North America),['GA'],senior,Avanade,2023-04-29,10:16:44
11403047,Certified Patient Care Assistant Medical Surgical,['AZ'],mid,Banner Health,2023-05-19,23:16:39
10772662,"Technical Program Manager, AI",['WA'],senior,Meta,2023-05-27,23:23:11
11385514,Data Scientist I/II,['OH'],senior,Federal Reserve Bank of Cleveland,2023-05-17,11:05:48
11292488,"Manager, Behavioral Health Program & Payment Policy ",['MA'],senior,The Commonwealth of Massachusetts,2023-05-04,10:06:00
11367306,Deputy Commissioner of Public Safety Inspections ,['MA'],mid,The Commonwealth of Massachusetts,2023-05-13,10:09:22
11180846,Patient Access Coordinator | M - F (8 AM to 5 PM),['AL'],mid,Kroger,2023-04-13,23:33:43
11372817,"Senior Scientist, Data Science (JRD)","['MA', 'NY', 'NJ', 'CA', 'PA']",senior,Johnson & Johnson,2023-05-16,11:16:57
10488712,Ai Designer,['Remote'],mid,Warner Bros. Discovery,2023-03-09,23:30:53
11244608,"AIML- Software Engineer, ML Platform & Infrastructure",['CA'],senior,Apple,2023-05-03,10:14:34
11154166,Senior Data Engineer,"['GA', 'IL', 'CA', 'NY', 'PA', 'WA']",senior,DoorDash,2023-05-15,23:09:55
11414413,(USA) Merchandising Lead,['NM'],entry,Walmart,2023-05-22,23:41:54
11039086,Senior Information Security Engineer - IAM Data Analytics,['IA'],senior,Wells Fargo,2023-05-22,23:46:09
10060611,"Intern, Data Analytics - Summer 2023",['MI'],internship,Avanade,2023-01-11,10:19:25
11425243,Technical Support Analyst,['Remote'],mid,Kinaxis,2023-05-24,23:01:44
11417761,Technical Consultant 2- Patient Monitoring (Home Based: Albuquerque),['Remote'],mid,Philips,2023-05-23,11:20:55
11069530,Energy Analyst II - Natural Gas - Smart Buildings - Remote,['SC'],mid,Siemens,2023-05-12,23:42:51
11171109,Senior Data Engineer,['Remote'],senior,Circle,2023-05-23,23:02:27
11226656,Solution Architect (XHQ),['Remote'],senior,Siemens,2023-05-12,23:42:51
11171122,Senior Data Engineer,['Remote'],senior,Circle,2023-05-23,23:02:27
11224654,"Manager, Data Engineering",['Remote'],senior,Circle,2023-05-23,23:02:27
11371322,"DoD SkillBridge Internship - Technician/Specialist - Salt Lake City, UT",['TX'],internship,Siemens,2023-05-13,23:33:38
10696154,Sr Software Engineer - Real Time Apps,['MA'],senior,Siemens,2023-01-26,23:36:13
11068068,"Data Scientist II~ Charleston, SC (Navy Information Warfare Center)~ Secret Clearance ",['MD'],mid,"SNS One, Inc.",2023-03-22,23:11:29
11171150,Senior Data Engineer,['Remote'],senior,Circle,2023-05-23,23:02:27
11214102,Responsible Sourcing and Sustainability Associate,['CO'],senior,Brilliant Earth,2023-04-19,10:02:35
11255964,Manufacturing Quality Engineer,['WA'],senior,Philips,2023-05-26,11:20:11
11371289,"DoD SkillBridge Internship - Technician/Specialist - Salt Lake City, UT",['NC'],internship,Siemens,2023-05-13,23:33:38
11371292,"DoD SkillBridge Internship - Technician/Specialist - Salt Lake City, UT",['SC'],internship,Siemens,2023-05-13,23:33:38
11375521,Senior Network Capacity Planning Manager,['WA'],senior,Flexport,2023-05-17,10:04:04
11365722,"Procurement Manager (Hybrid) -Boston,MA",['MA'],senior,Siemens,2023-05-12,23:43:37
11420323,Strategy Professional Market Intelligence,['IL'],mid,Siemens,2023-05-23,23:39:41
11226601,Solution Architect (XHQ),['Remote'],senior,Siemens,2023-05-12,23:42:51
11139838,Supplier Quality Manager,['NC'],senior,Siemens,2023-04-05,23:47:24
11171121,Senior Data Engineer,['Remote'],senior,Circle,2023-05-23,23:02:27
11421092,Information Security Analyst -Process-Doc-Evals,['AZ'],mid,Wells Fargo,2023-05-23,23:47:49
11430039,Data Center Chief Engineer,['VA'],senior,Amazon,2023-05-25,10:16:27
11083838,Dynamics 365 Solution Architect,['TX'],mid,Avanade,2023-04-21,10:17:30
11405051,Financial Planning & Strategy Manager - Operations,['Remote'],senior,Checkr,2023-05-24,23:03:40
11411620,Lead Analytic Consultant,['Remote'],senior,CVS Health,2023-05-27,10:29:15
7494809,Fraud Data Steward,['NC'],senior,TIAA,2022-01-28,11:10:19
11123742,"Data Architect (AWS, Azure, GCP)",['Remote'],senior,CapTech,2023-04-03,23:02:07
9714934,Product Strategy Lead,"['IL', 'NJ']",senior,Mars Inc.,2023-02-17,23:32:09
11225048,Enterprise Architect,"['GA', 'WA', 'MA', 'MD', 'IL', 'NY', 'PA', 'NJ', 'Canada', 'CA']",senior,ZS,2023-05-25,23:08:13
11431759,"Quality Auditor Staff - Camden, AR",['AR'],mid,Lockheed Martin,2023-05-25,11:17:15
11337451,"Director, Data Engineering",['Remote'],senior,Maven Clinic,2023-05-12,23:04:26
10689960,Senior Product Data Scientist,['Remote'],senior,Cash App,2023-02-17,23:12:56
6000165,Presales Solutions Consultant,['NC'],mid,Intapp,2022-05-23,16:18:58
11370841,Data Governance Lead,"['TX', 'OR', 'AZ', 'CA']",senior,Intel,2023-05-13,23:23:13
11162470,"Lead Software Engineer, Data Pipeline",['MA'],senior,Klaviyo,2023-04-29,10:05:46
11409328,"Data Engineer, Product Analytics - Monetization",['Remote'],mid,Meta,2023-05-27,23:23:11
11402380,Sr. Site Reliability Engineer - Database Engineering (MongoDB),['TX'],senior,Visa,2023-05-19,23:04:33
11207346,"Solution Sales Specialist, Medidata AI",['Remote'],mid,Medidata Solutions,2023-04-18,10:06:14
